,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Halostagnicola larsenii,0,0,0,0,20,0,0,0,5,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
Natrinema sp. J7-2,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,10,0,0,5,0,5
Natrialba magadii,0,0,10,0,0,5,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0
Halobaculum sp. CBA1158,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,5,0
Halobellus limi,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0
Haloferax larsenii,0,5,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0
Halomicroarcula sp. SYNS111,0,0,5,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5,0,0,0,0,5,0
Halovivax sp. CGA30,0,0,5,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,10,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0
Halapricum salinum,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,5,0,0
Halovivax sp. AGai3-5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,10,0
Candidatus Nitrosopumilus sediminis,0,0,0,0,0,5,0,15,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Haloterrigena turkmenica,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,5,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
Halobaculum roseum,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,10,0,5,0,0,0,0,5,0
Halobaculum magnesiiphilum,0,0,0,0,0,5,0,10,0,0,0,0,5,0,0,5,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Halorientalis sp. IM1011,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,5,0,0,5,0,5,0,0,0,0,0,0,0,5,0
Halorussus sp. DT72,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,5,0,5,5,5,0,0,0,0,0,0
Haloterrigena salifodinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,10,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0
Natrinema zhouii,0,0,0,0,0,0,0,0,0,0,5,0,10,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0
Halobacterium sp. XZYJT26,0,0,0,0,0,0,0,15,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5
Halobacterium noricense,0,5,5,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0
Methanoculleus chikugoensis,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,5,0,0,0
Natronorubrum daqingense,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,5,5
Natrinema salinisoli,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,10,0,0,5,0,0,0,0,0,0,5,0
Natrinema versiforme,0,0,5,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,5,0
Haloprofundus halobius,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,5
Salinarchaeum sp. Harcht-Bsk1,0,0,5,0,0,5,0,0,5,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
Halococcus dombrowskii,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,5,0,0,0,5,0
Halosimplex litoreum,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5
Halodesulfurarchaeum formicicum,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,5,0,0,0,5,0,0
Salarchaeum sp. JOR-1,0,0,0,0,0,5,0,0,10,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0
Salarchaeum japonicum,0,5,5,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
Halorussus sp. XZYJT49,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,5
Halorussus sp. XZYJT40,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0
Sulfuracidifex tepidarius,0,0,0,0,0,0,0,10,10,0,5,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natronococcus sp. CG52,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
Haladaptatus pallidirubidus,0,5,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
Methanofollis aquaemaris,0,0,0,0,0,5,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0
Natrinema marinum,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0
Natrinema gelatinilyticum,0,0,5,0,0,0,15,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
