,S001,S009,S005,S008,S010,S011,S013,S019,S018,S021,S023,S024,S025,S026,S027,S028,S029,S034,S033,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
nod,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
nrfH,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pfkA,1,4,13,11,2,16,6,4,4,11,8,10,3,14,11,22,3,5,8,16,3,9,13,5,9,14,9,11,10,10,10,12,15,8,6,9,17,12,3
pfkB,2,6,9,4,3,17,1,3,0,5,5,7,4,7,5,5,5,3,4,3,5,6,7,6,17,10,14,16,5,14,12,16,4,5,7,14,7,12,3
pfkC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pfp,1,2,32,36,6,40,1,31,27,20,29,36,22,31,38,69,19,25,28,31,8,19,38,30,67,72,31,81,31,43,40,34,17,38,25,63,56,58,22
porA,0,1,3,5,0,10,0,10,9,3,4,4,4,7,8,12,1,4,5,14,1,9,9,10,14,14,8,16,4,10,10,9,16,5,1,8,9,17,10
porB,0,0,3,5,0,12,0,8,7,1,3,4,3,3,2,9,0,1,1,6,1,6,5,7,8,14,8,10,2,3,6,6,4,6,5,4,2,9,4
porD,0,0,1,4,0,9,0,6,2,1,2,3,0,2,1,5,2,0,3,8,1,6,7,4,5,8,9,7,0,3,6,7,4,6,3,4,7,6,2
porG,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,3,0,1,0,1,1,1,0,2,2,2,2,0,0,1,0,2,1,3,1
pqqA,0,0,1,4,0,7,1,0,2,0,5,0,2,0,2,6,2,5,2,1,1,2,3,3,3,2,3,3,3,3,2,2,5,3,2,1,3,2,2
pqqB,0,0,1,5,0,3,0,4,3,2,3,0,1,3,1,0,0,1,1,4,2,1,5,2,8,9,9,3,4,10,3,5,8,1,4,2,2,7,5
pqqC,0,0,1,6,0,1,0,6,4,0,5,2,2,5,2,4,0,1,1,4,3,1,8,0,5,8,4,10,6,5,4,13,7,0,0,1,0,4,9
pqqD,0,1,1,0,0,0,1,1,0,1,0,0,3,1,3,1,1,1,0,3,1,2,1,2,4,3,1,4,3,1,0,3,3,1,0,1,1,2,0
pqqE,0,0,3,12,2,5,0,6,5,0,5,1,3,8,4,10,3,3,3,11,0,7,14,7,32,19,25,22,19,31,24,18,13,18,5,9,9,21,14
pqqF,0,0,2,3,0,9,0,6,2,5,5,4,6,5,5,10,3,5,6,4,1,3,5,4,13,15,9,14,7,11,7,10,5,7,6,11,13,9,4
psp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
pta,4,10,20,21,5,19,11,28,17,16,18,30,17,29,17,38,14,25,16,21,7,33,37,29,55,46,31,61,37,47,47,38,23,28,25,50,32,44,25
